2000 200 200
311 1183 17127 -177208
1889 1571 191838 -5420
690 1285 75229 -79123
1595 915 88875 138014
1253 510 178728 93528
441 1779 199701 188480
9 522 133469 52519
1602 286 175694 29468
434 170 192161 -85570
1271 159 143370 -97322
1394 157 86123 59124
1072 1127 74923 -118871
144 1844 24115 157927
924 1799 81759 184653
297 1672 112772 166855
1436 341 165721 -81762
767 1268 23119 -54633
158 1683 6252 183088
258 673 103001 120991
729 867 120716 19752
243 1555 157256 130880
1879 1188 171677 70062
317 693 64602 -104112
1892 148 110082 73011
1905 1829 30417 -177931
1427 216 111438 -143462
687 102 23426 106867
1623 1894 15741 88345
71 1913 60943 -26145
1471 1942 138705 -27996
877 1963 163067 143030
953 1428 188199 -48240
190 954 139457 126106
1861 1708 199668 -43728
1519 470 137419 -83521
670 1278 176537 37589
1697 44 173755 -172199
287 203 78768 111869
1807 387 49247 -54604
1362 912 56840 -13117
334 1254 100486 -172171
1640 202 143394 -128244
606 1438 33431 138725
1629 322 36158 -48476
1795 1027 171799 -192759
354 144 155798 102423
159 1435 194847 -178456
822 329 100473 92900
564 1224 23845 -180747
1642 1892 147887 -111961
307 966 71656 56604
1536 1728 56623 199833
1186 45 24002 32098
598 24 198786 151732
977 788 133758 145733
453 399 74467 -74350
1278 1498 42169 -50396
1294 899 157195 1381
781 1028 147335 -15018
5 636 196016 114236
1381 602 165814 -40189
845 1731 103270 -113086
262 484 101045 -41652
266 1797 184368 -196578
1468 1387 57378 27118
1237 1521 180100 125339
1610 1626 108368 -137899
1548 1378 160170 61562
872 183 125207 28887
121 1937 167378 -154782
1659 586 116139 54076
392 1432 60397 -124294
1646 744 123881 56216
1469 1177 76408 192279
361 1546 155577 91268
1201 1576 88028 -103224
878 1777 173465 36841
1437 1939 84713 -42902
105 294 21113 -175570
513 863 35866 31663
440 1648 54633 -14154
906 1316 8946 6065
1627 623 80116 46613
1288 1333 61008 80526
430 558 168173 102596
752 1664 186306 -124081
171 736 112591 -137691
117 1422 137363 52988
1458 304 85162 82070
1062 539 128546 148701
179 1710 64506 41292
804 1790 171390 -79628
1615 1760 183371 -118941
1323 1205 154542 40574
1077 1723 115875 113028
218 877 67255 162391
1992 698 163911 -193040
586 414 79338 -17171
1312 1560 150886 131100
1972 958 34868 178639
834 1883 193798 -39318
778 1487 11007 117109
303 491 67917 133276
1523 225 188471 -31647
1949 1014 171362 -85636
1837 1991 64489 5345
238 821 19828 105264
1899 887 104760 86532
982 892 135247 -102206
21 332 196599 -110707
1613 1255 126478 -74585
67 1238 173989 -114691
332 271 87232 -64091
312 1136 102371 53136
237 440 112624 -197541
248 901 182168 81206
153 168 93447 57861
801 1875 167536 -15567
1094 817 48688 -145932
1426 1818 123221 -116006
1244 461 131623 173433
799 97 153451 -177301
817 1901 14530 9530
567 1097 171931 -94577
1473 1636 92515 172247
500 1070 186828 -132991
1177 770 33272 162777
38 1752 20690 -80588
101 371 69198 150312
1636 853 41295 -197307
1491 310 39743 89136
495 338 72533 -58338
1655 1843 143204 -71272
1120 947 143007 93399
1398 638 50355 -147262
1550 878 51139 121085
304 239 14534 -127886
224 51 92448 -166643
1406 1615 112285 39062
658 720 61272 141039
1481 445 175709 56626
1925 603 191639 -10307
1940 1794 127896 100366
280 1974 6030 -68622
360 1611 108136 60819
528 1772 167693 -180895
926 1591 23999 191736
1026 298 56982 -94045
894 1290 84486 135921
823 1721 169731 76116
1869 875 80237 111648
580 1385 142363 -115052
1939 781 68636 183805
409 1227 100607 -131379
691 1335 167227 -125154
435 1082 20702 -128791
1047 1499 24144 -47031
599 929 54271 85922
980 1714 148720 -158674
1754 378 173784 -136190
1622 326 75981 -22862
578 146 78538 165501
1657 46 39935 28610
231 137 44002 -159455
1165 663 135992 -166190
713 389 87125 -32914
976 1256 177616 186380
474 41 1261 -58545
239 12 159648 198949
1766 1727 12254 -16587
1731 1197 42957 86026
773 324 60111 -34628
1029 905 88099 -127470
999 256 157102 -161361
1432 1938 187794 -16479
932 1814 115688 -194777
352 405 193930 -64201
663 1990 152542 -45348
634 538 624 129933
1596 1657 13478 -170818
447 1625 81122 11784
596 60 186084 -91357
463 439 96566 57014
72 336 144402 -144150
615 133 59126 -45358
227 344 132688 -117353
1868 1806 113553 -18081
936 1488 6732 -183303
66 1276 82488 -82893
838 967 177368 62450
351 136 136239 -49399
1721 4 123217 25208
809 809 13400 -31638
1635 1047 13643 -196690
1339 852 198333 140948
487 710 34939 32416
1429 1921 190374 191673
1805 921 41370 56949
1671 1375 195507 -149413
1073 989 10735 139936
113 1286 173779 -32902
1191 1536 11867 -194455
560 804 64484 -140950
1281 570 169869 -150037
1117 360 168444 114627
1440 76 185917 149195
1737 1606 76088 147377
1496 1800 143469 -109850
764 1433 9878 98367
1397 880 88157 -195020
1891 71 49069 142663
1262 1564 121954 -134887
1554 416 176907 -70
54 1075 66363 33593
462 1196 127330 65302
623 1187 65288 -24256
20 449 171601 -81585
1055 1341 144627 -16516
522 700 165283 -69915
40 1179 6979 -6819
701 1535 88807 -73241
1092 210 45528 11383
1297 802 81053 11986
718 1656 172851 28042
825 1396 34645 -69769
347 204 69922 -67403
840 88 195015 -24523
1943 191 35460 -75495
1213 1122 36941 -27630
1081 1149 182205 -64800
112 691 174106 -93442
49 567 112059 -19818
1093 803 62744 -57569
69 250 65457 -48872
1037 325 38994 -24113
793 1505 160709 -147266
1375 377 140559 181943
721 1351 49720 -8764
908 1163 153316 156828
1012 1578 56635 -15160
765 682 71123 -26930
613 135 31848 30646
1970 1342 50967 -164825
1215 1334 35726 -124965
1931 1898 147660 168509
1400 1693 142754 -173789
41 1449 128431 -93650
1378 1481 31089 -53880
493 1057 199384 -120377
1903 723 128823 -84880
1230 1792 112494 162557
1360 481 181540 146197
1806 1509 135072 175303
1885 972 107239 103789
1066 1982 190740 -31197
43 1159 79058 92843
583 1497 153112 179734
942 1819 182985 4802
654 1465 92672 -173779
1151 335 54092 -157228
74 1763 18161 6714
1834 1472 173278 148455
963 714 186364 -72691
110 227 81362 131957
1738 1084 165044 76999
1286 303 164443 86016
1112 269 154403 -186012
1632 111 188469 -40262
254 1866 184648 -175501
503 1310 92430 -62027
314 1868 116868 -43153
643 165 58603 8264
137 29 90993 11910
458 898 109295 93365
854 23 154661 139395
1216 1267 84449 -138163
852 731 142253 -4462
998 889 135950 150998
1717 1909 11143 572
1046 683 98741 53969
86 593 73225 -152849
1106 11 152665 -172896
1886 648 183522 -87463
22 1826 51711 188441
33 426 114702 16795
639 358 182471 183700
1654 230 181650 -12243
1042 1496 36438 -8892
1724 669 82223 -37578
921 302 13279 129318
933 1804 88975 59704
1723 706 145400 -50905
1465 240 10691 105837
1506 1243 113992 -25410
881 1161 101081 -723
641 836 2798 156733
1403 1213 193585 166609
1847 1098 159469 185138
570 1431 21297 -154545
1568 1622 46762 -69961
132 1692 5258 -77950
1794 1444 156193 -51471
1152 1782 16062 61690
529 77 172782 -120052
1606 198 113380 83485
1412 1607 61481 -126667
1475 1532 166038 1807
671 424 46162 115182
1355 1655 197354 160600
987 829 59299 -99275
298 1357 100046 10403
461 1808 153618 11045
42 1916 83286 155690
922 1660 55851 189894
819 896 31194 60626
552 1604 19948 -62248
1078 57 164428 185505
1082 1306 188485 24035
619 1236 130125 -111662
680 1703 55016 6387
1890 1111 151188 190013
1553 181 132450 -106730
988 1146 143830 137045
1250 1780 7452 180771
1171 118 11939 11078
389 783 82886 -139030
1134 1978 59534 142644
1024 1817 107567 -173082
1485 110 98941 82631
747 506 172946 167114
13 1332 55534 59335
1656 1640 198368 -15619
929 752 157603 79987
577 1216 35727 8883
106 446 55835 69021
138 245 175598 -134850
359 1363 80093 -134452
1912 1317 169201 68696
1555 1036 13900 32459
754 480 74809 -156600
1367 1056 34138 181315
637 670 138920 -86735
888 684 98991 193373
1755 594 15190 -52360
1317 508 50750 -25149
1904 665 143501 -131767
164 1770 59775 92097
83 155 16523 -158950
1793 222 121409 63237
340 750 11311 195754
829 1781 44212 181183
1050 705 72305 41466
919 1323 170131 -13195
1190 476 58658 -94050
420 1107 185905 8682
862 772 117309 -111673
1188 84 66665 -6966
863 467 39791 183066
1749 429 51443 -16818
1933 1753 10526 47244
181 834 167855 -187823
1322 1302 27455 1282
1982 238 108252 14964
1540 604 187389 -23129
186 760 54964 -164766
1922 1128 136717 -93520
821 1040 33698 -60148
1060 474 173621 64795
879 1967 55218 35504
983 918 80605 49647
561 1108 61819 -103635
1618 1562 113579 -117309
1027 871 67922 -104562
1254 1741 12890 -27106
1203 93 167178 26694
1123 1484 147473 187352
1881 589 188353 -129905
26 818 157870 56484
15 122 103714 163026
805 402 190402 -51462
358 1924 70239 173306
1998 1805 149883 195127
1573 493 186707 144491
1698 1676 116640 52476
1113 650 195772 -68520
624 1905 119911 50626
327 938 58233 50122
1937 1405 177595 -135193
1704 1691 88448 136889
428 1042 97871 161568
1428 337 153710 150884
1138 1384 129372 -64864
836 1960 769 114295
857 672 63209 -65129
157 1980 37630 133199
265 1880 48400 127504
1820 690 31233 -75436
1006 72 132720 152612
1520 1900 185157 98875
1666 1144 11770 -96591
969 1389 76417 -91533
464 1524 166895 7192
1679 404 111324 -66565
1140 156 185248 23347
1418 935 34953 61580
1800 1718 125283 -139550
1503 443 181407 -121082
425 1417 51371 88983
789 1303 60300 -100577
1833 533 196077 -61877
1565 39 147774 120074
1870 42 144377 93049
1097 1022 168898 26870
892 1700 16187 166067
1818 1932 147 30641
1954 715 125146 -19852
1624 1889 129966 -147447
324 1307 154831 -24985
1819 1809 27872 16690
501 1504 186363 -180662
1948 1370 97646 187879
914 1100 169179 -164597
950 1087 17013 60584
19 1796 180131 -185842
797 831 95721 15161
1341 1455 106881 -33932
990 1208 123101 113382
1650 805 112705 -57918
214 611 120666 134136
1836 920 178554 139492
669 1891 76584 152799
1718 1511 73021 -196715
1452 641 57963 105239
1368 327 36241 33023
784 459 57362 37372
150 1121 150937 -72480
1359 504 158176 55873
104 1831 180120 -6166
656 1570 170275 62962
1166 1941 146772 -192315
88 578 190820 82966
523 43 2027 -188933
1371 856 126694 89872
1505 382 117182 -28798
1456 580 194409 -10731
382 241 16950 -132857
668 1949 63106 -116114
807 224 183883 121202
1311 190 111633 98246
1090 678 55392 810
76 447 10327 140199
476 421 139153 11206
644 1416 65886 -81599
664 1545 144875 2472
1488 792 7491 -100010
353 1006 165422 -76942
846 321 121738 -24639
496 704 169279 -88241
345 100 145275 -29343
163 1138 123194 1860
660 125 91697 -117240
1789 430 23631 189589
837 1106 176667 -176501
900 192 136089 -73474
315 1119 152373 -44999
1220 728 44704 115512
1588 403 156497 -160322
769 740 73210 -157867
992 808 21593 166141
1276 1925 112409 -154975
350 1534 65026 -152822
662 1392 77000 113249
811 1574 57490 -112341
706 1007 7540 -148919
1988 195 195754 -73795
466 1404 177982 169863
1924 1907 163230 -95019
686 1859 139825 197842
1838 1383 64281 65096
107 1962 130145 134597
1277 742 113067 173657
1489 1610 45042 -73572
333 1448 58608 36031
329 273 198913 -108137
676 791 160646 -121553
300 1297 116148 47872
511 854 76164 81581
35 1832 149223 -33307
955 1223 164194 99514
111 1426 13666 336
1385 713 179706 -100969
1487 846 73640 40364
443 961 191458 -28844
386 163 90078 12295
715 1735 146593 -177567
388 1078 56816 -165678
1004 1211 98696 -71997
750 1077 174555 -108915
296 33 151278 191308
433 490 63923 19863
454 756 159885 -112865
1102 74 166571 66749
1393 1092 16809 162359
1208 924 2829 -56943
1541 236 154959 -43642
1483 180 34050 45692
796 1679 50783 -15259
1324 1469 151459 -130091
947 932 22028 -86395
1846 930 377 70570
1137 733 95879 29646
1844 1983 32569 59746
413 215 116649 -13927
995 355 128715 190290
1669 764 181154 95105
633 228 68014 -51521
649 1840 4371 -94495
417 417 18395 -104119
681 692 197999 -105991
748 119 96512 -95150
1626 1865 139876 -47282
1307 1178 30571 -161820
103 1968 156184 41917
492 434 58918 -177847
1995 87 87981 -56206
1061 812 135420 106033
723 520 106273 145939
1467 1137 96001 -76891
1049 819 131478 -68870
871 1934 79666 -103698
1313 1451 42237 -175132
1007 848 147710 -19675
8 767 12569 -36671
646 1008 87514 -163273
207 1214 193121 -166454
1036 559 94585 -150630
1974 18 132258 -194119
904 992 134667 14265
585 1899 124150 158050
1742 1055 94862 -154586
1542 927 10427 106599
994 1067 122374 62468
1955 694 175400 -38229
1224 1698 189409 -34739
1000 107 93300 121852
286 479 32465 15478
1822 1284 59527 198134
1306 105 30437 -81506
1765 1500 188016 41126
1025 828 16237 -35951
1304 1742 159975 -34917
1906 1471 49843 161393
1146 732 145428 149058
787 1738 178489 -7702
344 1964 53505 -161567
166 1986 175393 -28504
1198 1706 163412 -172366
557 1199 71585 148957
185 212 106870 -142420
1476 1355 74898 6937
1183 1096 76118 -103011
365 1854 90222 -141464
342 121 170634 -19367
1695 1115 167207 -110966
1812 266 52795 41552
318 536 159715 137724
1971 123 102145 127650
1405 1247 112602 -181307
1374 759 184211 -16733
783 1490 144492 101698
1809 689 58798 64544
1616 815 156227 -25554
1376 758 119640 189689
1987 1955 27225 190416
127 19 187714 -7055
642 320 146065 48110
1482 872 79768 -116145
737 619 129618 113086
1410 1661 108366 66483
228 1946 149771 -1517
890 208 43337 -146710
1960 524 188764 -70155
1098 1131 196417 187691
1260 879 27593 102323
1773 1366 119509 89859
505 214 124034 17319
1914 1458 188217 170782
1013 739 110035 190134
704 1094 158596 -183582
55 1897 199188 -29455
1088 1987 103304 -130520
842 1322 98893 177444
255 1984 36872 -57546
1449 1321 112912 -30180
339 532 2032 -111471
70 1222 5510 105976
1585 1895 45708 78464
768 716 113310 121526
380 423 109353 -71397
1110 711 52678 105674
1298 841 166848 -192218
1433 1675 116146 182640
1365 862 109817 -172786
1714 1009 58862 185181
1043 486 101813 -59910
1228 380 93445 121715
1689 1044 109260 110274
1451 1468 190824 108062
294 431 59133 55698
539 1311 95428 -22558
530 1893 176963 -154218
1878 1557 32964 161625
349 1348 65140 18962
1997 1512 101946 48597
1156 1182 186752 182650
1608 1120 7420 100784
25 1110 182532 -87496
1993 1305 20686 -56774
460 695 172859 -196522
405 729 99810 -134625
1434 296 138780 -157240
621 1958 14425 129554
1676 778 77103 -179422
1218 323 81210 -77441
1295 1429 59481 -57010
477 496 20052 -58058
545 1459 93136 -135457
1845 1406 94244 11710
1586 14 127292 -91816
1352 1359 185010 -89746
310 949 17491 -197974
934 1846 84054 -103701
357 1002 73299 193269
1404 154 21692 42150
1173 1694 84049 -45275
348 1634 133597 89436
346 1441 79297 152435
1450 455 32649 -35367
1176 1917 56152 36841
316 1088 36520 -104047
370 1663 178467 -71804
91 1847 160224 -128994
798 1296 35271 191527
1421 925 11209 -149117
1358 1466 43341 -162713
1945 369 80862 79283
1709 1759 49417 192502
160 861 170105 -149475
309 1239 28665 -187509
609 1580 239 -158970
1499 1394 93720 110657
1835 956 181664 -38412
1010 1756 198072 -153106
135 289 4953 -182806
28 1525 52996 -4634
682 616 118779 -27941
710 585 473 65788
1148 1461 85589 45644
100 418 63700 -183648
859 415 135089 131888
1340 1168 10023 55966
1121 653 198597 173369
858 1502 83071 136233
1462 768 108705 -71286
1767 153 173565 -15068
1354 248 18417 -22092
1675 1556 20834 -128597
1238 868 58832 -69514
880 483 82651 -111339
1221 1440 20384 125395
518 1988 85899 47026
1524 290 84531 31507
1947 373 38758 91380
1067 1543 1408 81260
1932 142 66793 87747
856 1226 17843 -168665
739 1961 83349 100628
587 353 125538 84010
1484 654 124429 -35115
755 1482 152518 -42601
666 946 59104 -27544
792 974 105566 81682
1633 997 88555 186319
971 945 32463 -20135
703 1328 88223 -92744
1396 1495 187273 -42222
893 566 2669 -178341
627 1522 134792 -120472
711 565 100944 186973
727 795 105358 -172141
533 1123 97013 -90471
497 1726 110604 22622
391 176 101281 -91890
335 295 196835 33006
757 909 65450 162726
975 413 191984 -122791
790 1649 157770 -111017
393 830 144101 62113
1246 462 9872 -160636
1414 1842 76389 67384
1961 549 75208 -147908
1514 469 486 93516
794 383 149448 -28119
93 1173 55803 -157374
1741 62 103910 47597
1357 7 10310 9990
1786 1682 68521 105700
826 1815 133079 139119
176 914 150810 58832
569 1947 160022 57015
861 895 77258 -184233
875 1105 109772 144063
957 1371 115309 -29304
1936 1993 124750 69627
1544 1210 141815 -8780
1070 81 58739 56477
1850 1124 78835 197898
273 427 139608 23482
77 917 167668 188477
949 1155 178708 4530
1727 640 22111 -37022
410 1202 22268 -37872
256 1995 19840 -94987
1840 406 169947 -151275
1926 1190 99811 178783
753 832 52474 31811
592 1218 1107 79239
437 957 198118 42705
1801 1885 123185 -167570
714 1169 78678 -190228
201 1368 44395 99682
997 1750 117512 -87610
197 1822 152434 -179772
1179 1911 167764 108409
618 1225 63511 -128031
1667 1376 170851 16597
813 82 60256 122655
1111 1768 123536 128833
1158 572 9071 42935
1594 1150 116903 -32138
6 676 69956 -92289
1272 275 149319 -118330
1851 680 47212 -110904
1876 330 93251 152212
731 21 8306 157620
1430 501 19637 147175
1516 865 10599 -188670
1301 143 166917 -43299
740 50 197770 113463
728 1475 135574 -89019
51 262 47382 -110895
1064 1849 35112 142934
1316 130 24906 27262
4 1018 118412 55899
1236 1271 166530 92142
1153 297 135427 -84977
1167 1079 134764 -71437
824 1485 162973 -79963
1299 987 169023 149989
45 825 36894 -10857
1692 259 190075 180537
1069 1517 97207 -158184
1415 1130 69388 20212
571 1414 138416 -109345
967 1841 2284 -119874
1782 1250 35347 29998
1265 247 131277 42413
1233 1544 127653 194443
510 384 80302 -2828
383 1786 120520 140101
742 91 104611 38142
1989 1593 152037 106702
1760 622 147766 -28814
252 437 162005 143616
1442 487 188582 -19871
692 735 104568 70181
972 287 43576 -61849
1159 1 82926 131633
848 859 72152 -144641
1084 433 13593 -97439
722 1489 21255 120780
1968 1273 198606 147357
744 1554 183855 -18617
897 1176 93587 -17559
1329 1252 148019 -106806
702 263 185611 147030
